Name,Description,Code,Audit Examiner,Audit Supervisor,Claims Adjuster,Community Admin,Forms Admin,Integration Admin,Loss Control,Premium Auditor,Processor,Producer,Producer Clerical,Producer Code - Basics,Producer Code - Cancellations,Producer Code - Policy Changes,Producer Code - Renewals,Producer Code - Submissions,Rating Analyst,Rating Supervisor,Reinsurance Admin,Reinsurance Manager,Reporting Admin,Rule Admin,Superuser,Tools View,Underwriter,Underwriter Assistant,Underwriting Supervisor,User Admin
Create reinstatement,Permission to reinstate a policy,createreinstate,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,x,
Create renewal,Permission to renew a policy,createrenewal,,,,,,,,,,x,,,,,x,,,,,,,,x,,x,,x,
Create rewrite,Permission to create rewrite,createrewrite,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,
Create rewrite new account,Permission to create rewrite new account,createrewrnewacct,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,
Create sensitive notes,Permission to create a sensitive note,createsensnote,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,
Create submission,Permission to create a new submission,createsubmission,,,,,,,,,,x,,,,,,x,,,,,,,x,,x,x,x,
Create local contacts,Permission to create a new local contact,ctccreate,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Edit local contacts,Permission to edit an existing local contact,ctcedit,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
View local contacts,Permission to view and search local contact entries,ctcview,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,
Always access debug tools,"Permission to access debug tools, even when they are disabled by a configuration parameter",debugtools,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Decline policy change,Permission to decline a policy change,declinepolchange,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decline submission,Permission to decline a submission,declinesubmission,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,
Delete internal docs,Permission to delete an internal doc,delintdoc,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,
Delete internal notes,Permission to delete an internal note,delintnote,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,
Delete sensitive docs,Permission to delete a sensitive doc,delsensdoc,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,
Delete sensitive notes,Permission to delete a sensitive note,delsensnote,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,
Create documents,Permission to add documents,doccreate,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
Delete documents,Permission to remove documents,docdelete,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
Edit documents,Permission to edit documents,docedit,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
Modify all documents,"Permission to edit or delete all documents, regardless of the permissions set on the individual documents",docmodifyall,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
View documents,Permission to view documents,docview,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View all documents,"Permission to view all documents, regardless of the permissions set on the individual documents",docviewall,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Edit account file contacts,Permission to edit account file contacts page,editaccountcontacts,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
Edit account roles,Permission to edit account roles,editaccountroles,x,x,,,,,,x,,,,x,,,,,,,,,,,x,,x,x,x,
Edit account,Permission to edit account info (accessed via Account File Summary page),editaccountsummary,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
Edit audit,Permission to edit audits,editaudit,x,x,,,,,,x,,,,,,,,,,,,,,,x,,,,,
Edit covered auto symbols,Edit covered auto symbols,editautosymbol,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,
Edit cancellation,Permission to edit a cancellation,editcancellation,,,,,,,,,,x,,,x,,,,,,,,,,x,,x,x,x,
Edit internal docs,Permission to edit an internal doc,editintdoc,x,x,,,,,,x,,,,,,,,,,,,,,,x,,,,x,
Edit internal notes,Permission to edit an internal note,editintnote,x,x,,,,,,x,,,,,,,,,,,,,,,x,,x,x,x,
Edit issuance,Permission to edit a issuance,editissuance,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,x,
Edit job roles,Permission to edit job roles,editjobroles,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,x,
